;link;hasil;sentiment
225;https://www.instagram.com/p/Cblkk7cv-MM/;program adopsi pohon  nditempat sederhana  teman  bertemu  berdiskusi   ditempat     program nprogram  diawali  kegiatan  didominasi apple    ndigambar  proses pemindahan benih  berusia   media    minggu   stres pohon pohon   diadopsi  dirawat   komunitas  berusia  teman  mengadopsi  menanamnya  lokasi   ditentukan next   cerita    adopsi  nstay tune;2
226;https://www.instagram.com/p/Cbj3-h1v6Sw/;njawa pos selasa oktober memberitakan spot gazebo sontoh laut  giat prewed nterimakasih ndablek ikhsan tiket masuknya  buka     sabtu minggu  trimaksih    menikmati keindahan wisata gazebo sontoh laut;2
227;https://www.instagram.com/p/CbjilLDPR2o/;nreposted camera ;1
228;https://www.instagram.com/p/Cbheg4fpX0n/;npernikahan  momen  bersejarah   insan   persiapan   pelaminan  ragam   mengabadikan momen   momen prewedding bernuansa bahari nabadikan momen bersejarahmu  acara prewedmu  sontoh laut         mengabadikan momen  camera  ndablek nterimakasih kakak  kunjungannya semoga samawa;2
229;https://www.instagram.com/p/CbfN-Gqplhb/;pernikahan  momen  bersejarah   insan   persiapan   pelaminan  ragam   mengabadikan momen   momen prewedding bernuansa bahari sontoh laut         mengabadikan momen  nreposted camera  ndablek;2
230;https://www.instagram.com/p/CbT6_dWPWW0/;terimakasih neng fotonya;2
231;https://www.instagram.com/p/CbPjWOBPn1m/;taman burung sontoh laut;1
232;https://www.instagram.com/p/CbPiEboJpoA/;;1
233;https://www.instagram.com/p/CbPJseuj8K-/;nrehat  giat workshop relawan bnn  gazebo sontoh laut;2
234;https://www.instagram.com/p/CbOulAchw9Q/;ngiat remas masjid al mubarokah  gazebo sontoh laut;1
235;https://www.instagram.com/p/CbMzG3YrRjs/;pernikahan  momen  bersejarah   insan   persiapan   pelaminan  ragam   mengabadikan momen   momen prewedding bernuansa bahari nabadikan momen bersejarahmu  acara prewedding  sontoh laut         mengabadikan momen  camera  ndablek nterimakasih kakak  kunjungannya semoga samawa;2
236;https://www.instagram.com/p/CbJWwaMhwYu/;finally  foto  diupload nbakal  konten   growing heart asik jalan ealah    tuh  mengajak      konten  lupaa smiling face  tear folded hands light skin tone;2
237;https://www.instagram.com/p/CbCJZRTrHik/; forget  apply sunscreen   go  slightly smiling face;2
238;https://www.instagram.com/p/CbB9fWXpEsB/;nmelaporkan kegiatan  swk sentra wisata kuliner sontoh laut   sabtu oktober  rangka temu kenal lurah    city mangezong negeri pertiwi sh  bertugas  kelurahan  sarioso nacara  digelar  lpmk kelurahan  sarioso   dihadiri  camat asemrowo   drs bambang udi ukoro sh sih ukoro njuga didampingi  sekcam  maya thosuly sh psdm maturnuwun    disambut   monggo    memajukan sontoh laut;1
239;https://www.instagram.com/p/Ca8wRzULqQ2/;nkenangan    terlupakan unforgettable moment giat pengibaran bendera   laut  rangka memperingati kemerdekaan ri    ngiat  dilaksanakan bertepatan  momen sunrise matahari terbit melibatkan  orang  komunitas  komunitas kim kota   karang taruna fkppi motherland ksi nelayan opd kec asemrowo asik ikasmasabaya     maaf kalo   koreksi silakan komentar nbayangkan guys  berlomba lomba  berpacu mengejar matahari terbit   kepanikan  mengejar momen  grinning face  sweat nbenar    terlupakan nterimakasih   camat asemrowo  ukoro  heru ksj nmudah mudahan giat   dilaksanakan    nreposted  film frames moment   terlupakan thanks min smiling face  heart eyes  ;2
241;https://www.instagram.com/p/CayPJKnvVcL/;nserunya main drone  sontoh laut  mengexplor indahnya alam    seputaran wisata sontoh laut layaknya intan  terpendam ditengah  hiruk pikuknya  tepatnya  daerah  jalan kalianak  margomulyo   sisa sisa alam  indah   kawan nanda  mengexplorasi  ribuan burung  bersarang  taman burung   nreposted  camera ;2
242;https://www.instagram.com/p/CaqQjSLBVV1/; selfie   gazebo sontoh laut nreposted  camera keren lokasine endi mind;2
243;https://www.instagram.com/p/Cao06hnrU_y/;;1
244;https://www.instagram.com/p/CaoG0pgvunD/;avicennia  marga  memiliki kemampuan toleransi  kisaran salinitas   dibandingkan  marga  marina  tumbuh    salinitas  mendekati tawar   macnae npada salinitas ekstrim avicennia tumbuh kerdil  kemampuan menghasilkan buah hilang;1
245;https://www.instagram.com/p/CamqN2CpjE4/;protes tole ndalam  acara pelesir  keluarga  kawasan   tole  ajak foto bareng  susah  mengajak anak zaman  diambil gambar   nmungkin  orang tua   menyesuaikan gaya     kaku     diajak adaptasi  kekinian nperlu kesabaran ekstra    bertepuk sebelah tangan kendati  raut  manyun  apalah    foto   koleksi nkalau  berkenan diabadikan    merta menerima   proses  coba  lihat kualitas fotonya pinta tole  juru potret nkalau  bagus  diulang masak wajah ganteng  terhalang bayang bayang protesnya nbisa dibayangkan  ribetnya mengabadikan kebersamaan  anak zaman     orang tua  mengalah     anak muda;0
246;https://www.instagram.com/p/Cai35jZPao9/;ngiat relawan kemanusiaan  kebencanaan  perairan sontoh laut  rangka pengibaran bendera merah putih   laut nreposted  camera;2
248;https://www.instagram.com/p/CaeUZu7hPPW/; ambulu   keren  smiling face  hearts  wisata jeep lavatour merapi jogja  buka   patuhi prokes folded hands semoga sehat  folded hands;2
249;https://www.instagram.com/p/CaZIr7fPwLv/;nyantai  ;2
250;https://www.instagram.com/p/CaW49DtvAmB/;;1
251;https://www.instagram.com/p/CaUNnp4P86_/;lets sih;1
252;https://www.instagram.com/p/CaQ3A1oFGlx/;balance  life nliburan kerja makan istirahat berdoa  ribet club;2
253;https://www.instagram.com/p/CZ_tnFilYq_/;oriental garden lizard amazing;2
254;https://www.instagram.com/p/CZ10XZMhTXB/;hello october unity  diversity;1
258;https://www.instagram.com/p/CaEcHmPvFJ0/;family time jalan jalan      sekian kalinya masya allah smiling face  heart eyes red heart red heart  diana sih  lucu smiling face  heart eyes;2
259;https://www.instagram.com/p/CaAFUDTpxr4/;family time jalan jalan      sekian kalinya;2
260;https://www.instagram.com/p/CZ-7VdgP_IY/;family time jalan jalan      sekian kalinya;2
261;https://www.instagram.com/p/CZ8shTxPb0z/;hi baby boy ntumbuhlah sehat penuh semangat njadilah pemimpin penuh kharisma njadilah cerdas penuh kerendahan hati ngapailah kesuksesan penuh keberkahan njadilah penyayang keluarga penuh tanggung ;1
262;https://www.instagram.com/p/CZ8roNJvFd7/; greatest legacy   leave  children  happy memories;2
263;https://www.instagram.com/p/CZ1NENsvNvr/;ayo    daftar  mengumpulkan materi pendaftaran gratis periode penutupan besok tanggal september  subjek  hastag let show  creation ninformasi   silakan hubungi ninfo com nwhatsapp semoga  terpilih  pemenang red heart red heart red heart smiling face  heart eyes;1
264;https://www.instagram.com/p/CZteB-wLH-V/;suasana sore    desa ambulu kac losari kab cirebon ;1
265;https://www.instagram.com/p/CZqsCvhPobc/;bismillaah  quiet place   sunset;2
266;https://www.instagram.com/p/CZqrSatJCqe/;keep shining beautiful one  world needs  light omg seru banget  sih   viewnya bagus btw sih adek cute adek cantik  sok cute banget sih red heart perlihatkan   dedee cute banget sih sih kakak  adem mata lihat hijau lucu  gemeshin deh dedenya     aqilah jalan jalan  beautiful girl  beautiful place smiling face  heart eyes    dek  calon calon model  keren banget  fotonya smiling face  heart eyes   dek keren banget;2
273;https://www.instagram.com/p/CZSY5oxskfM/;nice blue heart blue heart blue heart green heart camera  flash camera  flash penuh petualangan bikin iri pria tua;2
277;https://www.instagram.com/p/CY8NdIPPc3K/;newcomer  custard apik gbr  koyok tau eruh  gaya iki face  tears  joy hluuuk hawaii ck ck uuapiiiiik pinky anangyulianto;2
279;https://www.instagram.com/p/CHHIBtVBTpO/;sudah buka ta;0
280;https://www.instagram.com/p/CY0zHiepITY/;sobat smelting   tau    nyak    salah  lokasi wisata  gresik jawa  nama tempatnya   ujung pangkah     tanaman     nikmati lho        menara pandang  meter   suasana  kawasan  nohiya lokasi   hasil hasil  program csr pt smelting   bertanggung   aktif   penanaman    nwah tempatnya   keren banget tag     waahh admin   kesini crying face  tes sales marketing officer       tahap psikotes wawancara  untag  keren red heart red heart red heart;1
281;https://www.instagram.com/p/CY0y9R3J86N/;reminder instagram reels competition peserta  marketing agent marketing  house tema utama video new cluster stage green lake natural living upload tag video  instagram reels wajib follow akun instagram resmi green lake natural living  tag teman   hastag batas  upload video  tanggal september npertanyaan silakan hubungi kontak  via dm folded hands;1
282;https://www.instagram.com/p/CYyNNZJvi1o/;  love zany face woman  red heart  man achmad red heart huntingjatim kiss mark red heart red heart growing heart growing heart growing heart growing heart growing heart two hearts two hearts two hearts sparkling heart sparkling heart smiling face  horns smiling face  horns smiling face  horns broken heart broken heart blue heart blue heart heart  arrow heart  arrow heart  arrow grinning face  big eyes yellow heart red heart fllow auto follbck red heart;1
283;https://www.instagram.com/p/CYx5AamF6Y_/;;1
284;https://www.instagram.com/p/CYtRIFUFeXJ/; craa  menikmati senja nsalam pejuang keluarga nin frame face  tears  joy;2
285;https://www.instagram.com/p/CYsFWexvcMJ/;hargailah    miliki   nkarna      beruntungnya  dimata orang ;1
286;https://www.instagram.com/p/CYkn210vCZ3/;allah naku  bersabar    engkau perintahkan kepadaku nmohon   kabar     engkau janjikan padaku camera;1
287;https://www.instagram.com/p/CYisfBRvFiF/;gowes ;2
